LapNumber,Stint,CompoundCode,LapDelta,AvgLapInStint,TireDegradation,will_pit_next_lap
20.0,3.0,2,1.2950000000000017,77.83800000000001,-0.8880000000000052,0
21.0,3.0,2,1.338000000000008,79.13833333333334,0.45000000000000284,0
23.0,3.0,2,0.2879999999999967,80.11200000000001,0.7379999999999995,0
24.0,3.0,2,-0.18600000000000705,80.592,0.5519999999999925,0
26.0,3.0,2,0.28700000000000614,80.72166666666666,0.8389999999999986,0
28.0,3.0,2,0.9140000000000015,81.06,1.7530000000000001,0
29.0,3.0,2,-0.9080000000000013,81.15766666666667,0.8449999999999989,0
30.0,3.0,2,0.6129999999999995,81.36399999999999,1.4579999999999984,0
31.0,3.0,2,-0.7180000000000035,81.02633333333334,0.7399999999999949,0
32.0,3.0,2,-0.09399999999999409,80.96,0.6460000000000008,0
34.0,3.0,2,0.24500000000000455,80.771,0.8910000000000053,0
35.0,3.0,2,-0.6490000000000009,80.605,0.24200000000000443,0
36.0,3.0,2,0.9419999999999931,80.78433333333334,1.1839999999999975,0
39.0,3.0,2,1.975999999999999,81.54066666666667,3.1599999999999966,0
40.0,3.0,2,0.41899999999999693,82.65299999999999,3.5789999999999935,0
42.0,3.0,2,-1.4819999999999993,82.95733333333332,2.096999999999994,0
43.0,3.0,2,-1.1969999999999885,82.20400000000001,0.9000000000000057,0
44.0,3.0,2,-1.1400000000000006,80.931,-0.23999999999999488,0
45.0,3.0,2,0.2710000000000008,80.24233333333335,0.03100000000000591,0
46.0,3.0,2,0.3739999999999952,80.07733333333333,0.40500000000000114,0
47.0,3.0,2,2.5519999999999925,81.143,2.9569999999999936,0
48.0,3.0,2,-2.4069999999999965,81.31599999999999,0.5499999999999972,0
49.0,3.0,2,0.2560000000000002,81.44966666666666,0.8059999999999974,0
50.0,3.0,2,-0.5789999999999935,80.53966666666666,0.22700000000000387,0
51.0,3.0,2,-3.034000000000006,79.42066666666666,-2.807000000000002,0
52.0,3.0,2,-0.0030000000000001137,78.21533333333333,-2.8100000000000023,0
53.0,3.0,2,1.2540000000000049,77.621,-1.5559999999999974,0
54.0,3.0,2,0.9470000000000027,78.35366666666668,-0.6089999999999947,0
55.0,3.0,2,0.9719999999999942,79.41133333333335,0.36299999999999955,0
56.0,3.0,2,1.2819999999999965,80.47833333333334,1.644999999999996,0
57.0,3.0,2,-2.6629999999999967,80.342,-1.0180000000000007,0
58.0,3.0,2,0.28600000000000136,79.977,-0.7319999999999993,0
59.0,3.0,2,-0.2810000000000059,79.091,-1.0130000000000052,0
60.0,3.0,2,0.07000000000000739,79.116,-0.9429999999999978,0
61.0,3.0,2,-0.44599999999999795,78.897,-1.3889999999999958,0
62.0,3.0,2,0.340999999999994,78.88533333333334,-1.0480000000000018,0
63.0,3.0,2,0.060000000000002274,78.87033333333333,-0.9879999999999995,0
64.0,3.0,2,-0.492999999999995,78.83966666666667,-1.4809999999999945,0
65.0,3.0,2,0.11099999999999,78.73233333333333,-1.3700000000000045,0
66.0,3.0,2,-0.25900000000000034,78.51866666666666,-1.6290000000000049,0
